Seed,Username,Score,Max Combo,Mods,Miss,100 Count
1,XK2238,1041619,1158,HD,0,15
2,Zed0x,1040405,1158,NF HD,0,16
3,miwoo,1024743,1158,HR,0,29
4,Remi_hs,1024311,1137,NF HD,2,21
5,JarvisGaming,978085,1158,NF,0,19
6,Warp,964239,651,HD,1,64
7,AlejarTV,933465,1158,NF,0,59
8,wahl-,905664,509,,6,47
9,NaNaHiDa,904306,487,NF,11,32
10,Ticy,903977,547,,3,57
11,tutanchamon351,903084,492,NF HD,18,57
12,Mist31,894968,685,NF,2,76
13,_TheXFactory_,875505,508,NF HR,5,114
14,BajedePuerta,869253,834,,12,72
15,shinjinhome,864752,465,NF HD,13,90
16,Bulturst,816859,407,NF,15,85
17,plush seal,813139,604,NF,24,74
18,TheCoconutHuman,803617,436,NF HR,16,152
19,Fenrisul_fr,679408,320,NF,51,113
20,DemonSlayer6669,624575,193,NF,54,164
21,HD Enjoyer,572408,144,NF,94,123
22,TheMopey,383337,91,NF,170,176
23,Taiko Sigma,301743,80,NF,207,254
24,recuta,150728,40,NF,324,330
