Seed,Username,Score,Max Combo,Mods,Miss,100 Count
1,Katdon_donKat,1056324,1166,HD NF,0,3
2,chibamasu,1022415,701,HD NF,3,9
3,PepeTheShrek,1012790,1166,NF HR,0,38
4,miwoo,1009482,750,HD,3,22
5,JarvisGaming,1000148,753,HD NF,3,24
6,vun,987311,725,HD,6,31
7,Warp,972865,1166,HD,0,74
8,Mist31,953605,1166,,0,41
9,TheCoconutHuman,944058,698,HD HR,7,104
10,Ticy,922108,701,NF,3,46
11,HD Enjoyer,883516,604,NF,9,41
12,DemonSlayer6669,799924,441,NF,13,105
13,wwowie,758168,191,,37,59
