Seed,Username,Score,Max Combo,Mods,Miss,100 Count
1,shinchikuhome,1892086,1552,,0,11
2,AuroraPhasmata,1815208,1403,,2,61
3,h1g,1634988,888,,27,45
4,niboshii,1248752,433,,43,163
5,Glassive,1107562,244,,68,185
6,GamersDecision,830406,528,NF,67,187
