Seed,Username,Score,Max Combo,Mods,Miss,100 Count
1,hz404,3816250,3194,,0,1
2,Zed0x,3802280,3194,,0,25
3,yakisode,3776100,3194,,0,13
4,Cissrawk,3734660,3194,,0,134
5,JoshEco4,3727386,2586,,2,41
6,TaikoWorldCup,3640826,1611,,11,172
7,VestaraKhai48,3506388,1536,,4,224
8,SB Rookie,3488252,1141,,29,134
9,Shannon,3475966,1416,,14,159
10,Alchyr,3456524,2076,,6,252
11,yamfan,3454640,1079,,34,70
12,Totodileuh,3448378,1141,,11,131
13,69maow,3446104,915,,13,85
14,Hidden is fun,3443520,1183,,6,199
15,BajedePuerta,3412104,1012,HR,37,233
16,Chupalika,3392170,657,HR,23,104
17,Gundham,3380596,1024,,20,100
18,B-with-Ee,3280482,1189,,47,152
19,Araxcrow,3278710,712,,21,228
20,Informous,3250860,845,,44,83
21,TingMomentum,3227286,1029,,45,74
22,waidabu,998657,1551,,6,41
23,Zippywin,882588,590,,68,75
24,Kwriter,869822,820,,28,141
25,Freeze7,806238,748,,72,283
